prompt_id	slice	grader	prompt	expected_answer	notes
qt-k-001	knowledge	exact	What is the chemical symbol for oxygen?	O	basic science
qt-k-002	knowledge	exact	What planet is known as the Red Planet?	Mars	basic astronomy
qt-k-003	knowledge	exact	How many days are in a leap year?	366	calendar fact
qt-k-004	knowledge	exact	What gas do plants primarily absorb for photosynthesis?	carbon dioxide	basic biology
qt-k-005	knowledge	exact	What is the capital of Japan?	Tokyo	geography
qt-k-006	knowledge	exact	What instrument measures temperature?	thermometer	basic instrument
qt-k-007	knowledge	exact	What is H2O commonly called?	water	basic chemistry
qt-k-008	knowledge	exact	Which continent contains Brazil?	South America	geography
qt-k-009	knowledge	exact	How many sides does a hexagon have?	6	geometry fact
qt-k-010	knowledge	exact	What is the primary language of Spain?	Spanish	language fact
qt-k-011	knowledge	exact	What force pulls objects toward Earth?	gravity	basic physics
qt-k-012	knowledge	exact	What is the freezing point of water in Celsius?	0	degrees Celsius
qt-k-013	knowledge	exact	Which organ pumps blood through the body?	heart	basic anatomy
qt-k-014	knowledge	exact	What color do you get by mixing red and blue paint?	purple	color mixing
qt-k-015	knowledge	exact	How many hours are in two days?	48	time arithmetic
qt-k-016	knowledge	exact	What is the largest ocean on Earth?	Pacific Ocean	geography
qt-k-017	knowledge	exact	What is the opposite direction of east?	west	direction
qt-k-018	knowledge	exact	How many letters are in the English alphabet?	26	language fact
qt-k-019	knowledge	exact	What is the square root of 81?	9	arithmetic fact
qt-k-020	knowledge	exact	Which metal is liquid at room temperature?	mercury	chemistry fact
qt-k-021	knowledge	exact	What is the process of water turning into vapor called?	evaporation	basic science
qt-k-022	knowledge	exact	Which animal is known for black and white stripes?	zebra	common knowledge
qt-k-023	knowledge	exact	What is the main ingredient in bread?	flour	food fact
qt-k-024	knowledge	exact	What is the currency of the United States?	dollar	currency
qt-k-025	knowledge	exact	How many months are in a year?	12	calendar fact
qt-k-026	knowledge	exact	What shape has three sides?	triangle	geometry fact
qt-k-027	knowledge	exact	Which star is at the center of the Solar System?	Sun	astronomy
qt-k-028	knowledge	exact	What sense uses the nose?	smell	basic anatomy
qt-k-029	knowledge	exact	What is the young form of a frog called?	tadpole	biology
qt-k-030	knowledge	exact	What do bees make from nectar?	honey	basic nature
qt-k-031	knowledge	exact	What is the chemical symbol for gold?	Au	chemistry fact
qt-k-032	knowledge	exact	What is the capital of Canada?	Ottawa	geography
qt-k-033	knowledge	exact	What tool is used to tighten a screw?	screwdriver	tool fact
qt-k-034	knowledge	exact	What is the opposite of empty?	full	antonym
qt-k-035	knowledge	exact	How many wheels does a standard bicycle have?	2	common object
qt-k-036	knowledge	exact	What is the primary gas humans breathe in for respiration?	oxygen	basic biology
qt-k-037	knowledge	exact	What is the first month of the year?	January	calendar fact
qt-k-038	knowledge	exact	Which device is used to tell time on a wall?	clock	common object
qt-k-039	knowledge	exact	What is the result of boiling water becoming steam called?	vaporization	basic science
qt-k-040	knowledge	exact	What is the color of a clear daytime sky?	blue	common observation
qt-m-001	math_reasoning	numeric_exact	A box has 7 red balls and 5 blue balls. How many balls are in the box?	12	addition
qt-m-002	math_reasoning	numeric_exact	What is 18 minus 9?	9	subtraction
qt-m-003	math_reasoning	numeric_exact	If 4 bags each hold 6 apples, how many apples are there?	24	multiplication
qt-m-004	math_reasoning	numeric_exact	A train leaves at 3:00 and arrives at 5:30. How many minutes is the trip?	150	time reasoning
qt-m-005	math_reasoning	numeric_exact	What is half of 46?	23	division
qt-m-006	math_reasoning	numeric_exact	If a pen costs 3 dollars, how much do 8 pens cost?	24	unit price
qt-m-007	math_reasoning	numeric_exact	What is 15 percent of 200?	30	percentage
qt-m-008	math_reasoning	numeric_exact	A rectangle is 8 by 5. What is its area?	40	area
qt-m-009	math_reasoning	numeric_exact	What number comes next: 2, 4, 8, 16?	32	pattern
qt-m-010	math_reasoning	numeric_exact	If you have 30 candies and give away 11, how many remain?	19	subtraction
qt-m-011	math_reasoning	numeric_exact	What is 9 times 7?	63	multiplication
qt-m-012	math_reasoning	numeric_exact	A dozen eggs plus half a dozen eggs equals how many eggs?	18	units
qt-m-013	math_reasoning	numeric_exact	What is 144 divided by 12?	12	division
qt-m-014	math_reasoning	numeric_exact	If a car travels 60 miles in 2 hours, what is its speed in miles per hour?	30	rate
qt-m-015	math_reasoning	numeric_exact	What is the perimeter of a square with side length 6?	24	perimeter
